SessionID,EmpaticaID,fft_pLF,fft_pHF,fft_LFHFratio,fft_VLF,fft_LF,fft_HF,lomb_lf,RMSSD,PNN50,TRI,TINN,lomb_hf,meanV,stdV,sdsd,qr,SessionLabel,SessionLabel2,SessionLabel3
S10_1,A010C3,47.855121948569646,52.14487805143037,1.0043278078386062,1.0153642158470086,2.3497396587421946,2.6037562350922103,0.2313506520951256,0.04483017378328361,0.19458083312595734,5.975142820142823,0.04687500000000019,0.27670051029029186,0.7814475212151687,0.050622383814748616,0.044801536093847405,0.9959435626102291,1,2,1
S10_2,A010C3,35.08401552376325,64.91598447623674,0.5736751687131552,0.47668021190913407,1.2290241681408296,2.36973296791736,0.2409528524849595,0.07431914399507078,0.46951959858720277,5.734761904761904,0.0255208333333334,0.28147734832584276,0.7253341516904358,0.058637563662667216,0.074230284292986,0.9744813663490814,3,2,3
S10_3,A010C3,45.083971917097344,54.91602808290266,0.8347624940938193,0.706898849846025,2.1676324657543917,2.605607010277064,0.2665298701842729,0.0504889696131982,0.22307556697017764,6.229915824915822,0.0380208333333334,0.314137429958116,0.7596758015000052,0.052066499694619,0.050466176684265215,1.0,1,2,2
S10_4,A010C3,23.851088831706548,76.14891116829342,0.31532866257796294,6.71402365941813e-14,0.6180680544604721,1.9791705884371353,0.016276681525479498,0.04243675234956501,0.14723137973137948,3.3273809523809557,0.020833333333333506,0.038202246001668494,0.457846413395246,0.03226405300889051,0.042312199040059006,0.9741025641025644,1,2,0
S11_1,A010C3,30.09860665258518,69.9013933474148,0.44525198503236446,0.4293468240570589,1.4645552190970652,3.5606099756206726,0.05326983642793301,0.04397450707678519,0.17391089114749697,4.708763597513595,0.04765625,0.1455532411988482,0.6446676005972755,0.03612050280171101,0.0439188429867664,1.0,1,1,1
S11_2,A010C3,56.19031622071787,43.80968377928214,2.879981815517466,0.10961843162506808,1.0915203997320257,0.9379450620709568,3.1012226003237937,0.09116291961871166,0.4520867208672085,4.916666666666667,0.02734375,2.7684921405513103,0.5505895842788919,0.09520459390760233,0.08994184996545268,0.9026806526806526,1,2,3
S11_3,A010C3,40.49054861430395,59.50945138569607,0.722534366256261,0.1752070003109952,1.2097027412102044,1.960882284764866,0.20555504836403976,0.061467867354675014,0.278644355541055,4.35123949579832,0.0375,0.26077449948390885,0.6698367712516438,0.04686998319164322,0.06124737576867201,0.9909090909090909,1,1,2
S12_1,A010C3,39.971012362542986,60.028987637457,0.741293440827333,8.458071487234592e-14,1.306645380983368,2.043078338303827,0.18299580300487073,0.05985187106719198,0.22229649435531776,4.34375,0.0244140625,0.11698934325212422,0.840409709891382,0.043555903417048014,0.05951406597504324,1.0,1,2,1
S12_3,A010C3,50.04900792946596,49.95099207053404,1.1965913738430687,0.2959873538490549,1.5842865483058561,1.6374015378680844,0.7876312696629146,0.08633421425242381,0.368818327641857,5.929285714285714,0.015625,0.6232216608481471,0.8241990552426872,0.08448294878318378,0.08569100128608563,0.9924836601307192,3,3,2
S13_2,A010C3,29.50137152851305,70.49862847148692,0.44048783847861855,0.04337775931764032,0.6356832286107643,1.578506436870268,16.878771326683687,0.23998394244351573,0.45619839701361425,5.04702380952381,0.015625,17.6666108112872,0.48754611460493896,0.18087769829813952,0.23935740733062574,0.9710680506014545,1,2,3
S13_3,A010C3,43.46706723579888,56.53293276420112,0.8160061440170586,0.10979724831012404,1.533331708516265,2.080031436019542,1.4821116791910158,0.12020670903104376,0.5651527830407144,5.4694444444444485,0.01692708333333325,1.2689713722738236,0.7812605355337775,0.10076747970671852,0.11983918589581426,0.9425512733829166,1,1,2
S14_1,A010C3,33.5680741582232,66.43192584177679,0.5198139393869763,0.1183309672092646,1.1711943164013336,2.43276193756547,0.11078658329453865,0.059084275758974666,0.343735640106608,4.772222222222223,0.017361111111111,0.11948822063967533,0.6820816243235929,0.04503059319867167,0.05898651063621368,1.0,1,1,1
S14_3,A010C3,49.8335044781854,50.1664955218146,0.9939642795473179,4.8095135235833196e-14,1.04303562431903,1.05066854360396,1.1377780783262301,0.08454671393253199,0.49650349650349596,6.5,0.015625,0.665124245995245,0.6037292916666671,0.07653663947287102,0.084188057793236,1.0,1,1,2
S15_1,A010C3,50.86804291173101,49.131957088269,1.1909149618088568,0.336255347371438,1.956307451686294,1.8948619776855218,0.47322513042096853,0.04715215997131001,0.24369843692249427,4.871681096681092,0.03203125,0.2390653743786801,0.6419216987612315,0.047400229784397195,0.0470136806015904,0.9896569380440348,1,2,1
S15_3,A010C3,59.17623024365491,40.82376975634515,1.47210438779539,0.2944401638643646,2.213036493444078,1.5610624281058827,0.1388841031007035,0.04001194040088526,0.20855919207557272,5.442438799017748,0.02376302083333325,0.09500634786594025,0.6174932810366937,0.044304826016591754,0.039845941807614735,1.0,1,2,2
S1_1,A010C3,43.76596090450286,56.23403909549714,0.8101256083481392,0.6874951143811672,1.8144152345630682,2.329785126409533,0.3714552078821839,0.059924395281599804,0.3632219692875433,4.879047619047622,0.021875,0.3022118600116173,0.840704224100668,0.05314782797817963,0.05988751194575979,1.0,1,2,1
S1_2,A010C3,38.557073734946364,61.44292626505364,0.7667576214398218,0.045517051071369864,1.08483273483028,1.7508585207362475,0.37060966115814475,0.07593909952310986,0.4908327397910732,5.033333333333332,0.015625,0.33311982750936664,0.7363251968854135,0.06437392166025101,0.07544293649126767,0.9860818713450293,3,3,3
S1_3,A010C3,40.218146661872204,59.7818533381278,0.7460942170472414,0.49556970020157465,1.9418806898452463,2.7841713352422572,0.4451976897447401,0.054648503510906186,0.2714405852036624,5.0256673881673875,0.02734375,0.34961996427712677,0.8212060775886195,0.051049898645399,0.0545774277702294,0.9927619047619046,1,1,2
S3_1,A010C3,40.00819008781275,59.99180991218725,0.6779688927230839,0.267619545683681,1.3223030182630502,2.01509594682724,0.021715474088728,0.021004514707985002,0.0,2.9069264069264094,0.021484375,0.0307237569871535,0.532771436246533,0.018555441960312502,0.020970049778577998,1.0,3,2,1
S3_2,A010C3,38.52440065267994,61.47559934732004,0.6465191626060341,0.32452551773501576,1.3641581329270964,2.1107813209332575,0.062095360119727494,0.032500742316110005,0.13729802194320348,3.661473332022867,0.029296875,0.07972166525550274,0.5450047137906693,0.029437459680727262,0.03247791422695451,1.0,1,2,3
S3_3,A010C3,40.03089560133619,59.96910439866381,0.6798586919433699,0.6863294582440378,2.04822430195518,2.997699339380654,0.10023145750771723,0.028199035960491996,0.057365241929934,4.137888724336093,0.04322916666666661,0.10728410995142322,0.5772507171155599,0.03009029119469899,0.028188512154213592,0.9962338241856312,1,2,2
S4_2,A010C3,33.66260206168298,66.33739793831701,0.5146464266112797,0.41766651578631947,1.3367768820950205,2.7696257059895135,0.05107707588661175,0.053156159476480495,0.26628904885483823,4.248039215686273,0.03776041666666675,0.14785825350184403,0.587363613282554,0.03928499687030424,0.0531303371882805,0.9919329573934837,1,2,3
