Mean,Std,Peak,Strong_Peak,Perc20,Perc80,QuartDev,Lab_sub,Start_time,end_time,Max,Min,dataQual,derivative,SessionID,SessionLabel,SessionLabel2,SessionLabel3,Device
0.690403716304,0.0606749930082,0,0,0.628484015807,0.754689351106,0.102384336546,10,1553853004.5,1553853124.5,0.802268807278,0.594251293318,0,-0.00346695856599,S10_3,1,2,2,A010C3
0.597586384817,0.046668019273,0,0,0.549387865205,0.646770901275,0.0811968786118,10,1553853064.5,1553853184.5,0.684379089083,0.522791258737,0,-0.00269313050577,S10_3,1,2,2,A010C3
0.528424295488,0.0346057776687,0.833333333333,0,0.493282555422,0.563978466028,0.0583120903333,10,1553853124.5,1553853244.5,0.593704830105,0.470216543865,0,-0.000864886406777,S10_3,1,2,2,A010C3
0.445369603238,0.284131416089,11.6666666667,0,0.185619852144,0.659858422206,0.334681608109,10,1553853424.5,1553853544.5,0.87888874794,-0.17064567677,0,-0.00801495603989,S10_4,1,2,0,A010C3
0.714502064515,0.546836482147,8.33333333333,0,0.409575773784,1.11889883451,0.639155181164,10,1553853484.5,1553853604.5,1.86891693164,-0.659229265504,0.291666666667,-0.0177972258366,S10_4,1,2,0,A010C3
2.04603246356,0.930843944489,10.8333333333,0,1.07233476323,2.9728420258,1.71585312841,10,1553853544.5,1553853664.5,3.79957438759,0.572249460439,0,-0.011959087837,S10_4,1,2,0,A010C3
3.09868796742,0.237328050874,15,0,2.92178108391,3.31093476942,0.287289867883,10,1553853604.5,1553853724.5,3.59320802008,2.45692822835,0,-0.00862889181157,S10_4,1,2,0,A010C3
3.21335806901,0.112608808584,13.3333333333,0,3.14698311389,3.30836963451,0.0836412308314,10,1553853664.5,1553853784.5,3.57146919055,2.79576975954,0,-0.0129283238502,S10_4,1,2,0,A010C3
0.319572691393,0.0314586336648,2.5,0,0.288482943446,0.347268723983,0.0489604130484,9,1553602218.25,1553602338.25,0.374830607616,0.251534165476,0,-0.000120961969433,S9_1,1,2,1,A010C3
0.347846176991,0.0409606632056,2.5,0,0.308788055603,0.394673344282,0.0803057925843,9,1553602278.25,1553602398.25,0.404243038906,0.280945496455,0,0.000583058796824,S9_1,1,2,1,A010C3
0.395875670299,0.0328426231185,5,0,0.376884324302,0.405338170749,0.0197383976203,9,1553602338.25,1553602458.25,0.485786383994,0.316766870895,0,0.000880544963716,S9_1,1,2,1,A010C3
0.432857686382,0.0354118612484,5,0,0.395540159523,0.466329285343,0.0637390826271,9,1553602398.25,1553602518.25,0.487096094871,0.370269082144,0,0.000565435344089,S9_1,1,2,1,A010C3
