SessionID,Mean,Peak,Perc20,Perc80,QuartDev,Std,Strong_Peak,dataQual,Max,Min,TwoClassLabel,ThreeClassLabel
13_26,0.412146385,2.015828678,0.387746046,0.452057589,0.049343303,0.057919631,0,0.007681564,0.485598806,0.255662125,1,1
13_3,0.747490481,0.333333333,0.691797894,0.797386922,0.081489593,0.051954488,0,0,0.845972231,0.658955583,1,2
13_4,1.12983505,10,0.94483178,1.408219787,0.347053509,0.356751634,0,0.033333333,1.523643504,0.204991551,1,1
13_5,-0.401851559,1.918981481,-0.968168149,0.178179321,0.926304307,0.646379623,0.055555556,0.219560185,0.675556523,-1.717365479,1,2
13_6,-0.281001918,1.068075117,-0.670130513,0.113804032,0.657460658,0.441575674,0.007824726,0.219092332,0.416505573,-1.184970143,1,1
13_7,-0.069690767,0.630952381,-0.330974778,0.184415877,0.429556163,0.282956495,0,0.10297619,0.321595507,-0.654982484,1,1
13_8,0.121256865,2.140700483,-0.049699241,0.287729101,0.266331161,0.19942323,0,0.141002415,0.384503507,-0.320232008,3,2
1_1,1.54702144,8.111111111,1.341844297,1.76971063,0.353185862,0.229809654,0,0.005555556,1.956411154,1.110902785,3,3
1_2,0.180091497,0,0.175254103,0.185423987,0.008402659,0.005776318,0,0,0.190987264,0.168329093,1,2
1_3,0.564616641,0.333333333,0.498514695,0.630825015,0.110368911,0.064292013,0,0,0.690011415,0.465702038,1,1
1_4,1.850343498,12.16666667,1.20062602,2.359033435,0.95089352,0.634903541,0,0.016666667,2.871381365,0.737156133,1,2
3_1,0.169885255,0.208333333,0.151782891,0.186352162,0.029448917,0.02062662,0,0,0.218244048,0.135045194,3,2
3_10,1.167506166,4.807017544,0.715307337,1.594993167,0.716561599,0.501714417,0.403508772,0.064473684,1.888730966,0.10398531,3,2
3_12,0.13951136,2.981481481,-0.122924278,0.37186818,0.386561292,0.298869483,0,0.087037037,0.482170439,-0.586119547,1,1
3_14,0.05101594,0.873287671,-0.080127637,0.20018956,0.223122845,0.17391227,0,0.174942922,0.279537254,-0.346838585,1,1
3_15,0.147146101,2.186468647,-0.046141406,0.347204484,0.314726134,0.233482352,0,0.094530882,0.508564865,-0.355371032,1,2
3_16,0.09829869,0,0.096565825,0.09988053,0.003077062,0.001738997,0,0,0.10229623,0.095806113,1,1
3_18,0.043207463,2.296296296,-0.043924675,0.14191645,0.145735967,0.122383213,0,0.063194444,0.208679991,-0.255552119,1,2
3_19,0.072302472,2.156462585,-0.118805205,0.283321556,0.313433145,0.236785856,0,0.125,0.394995432,-0.468841575,1,1
3_2,0.303123693,0.944444444,0.284866735,0.318129396,0.0275128,0.019046455,0,0,0.337849304,0.268735404,1,2
3_20,0.100619083,1.323099415,0.005353262,0.204618461,0.156801738,0.115541266,0,0.054580897,0.269675435,-0.152936632,1,2
3_21,0.539805182,1.275462963,0.506820036,0.57570168,0.055877083,0.041309382,0,0.01099537,0.605753076,0.451721333,1,1
3_22,0.149276723,1.073717949,0.118910231,0.18674535,0.053542402,0.046794971,0,0.030248397,0.210898134,0.030754865,1,1
3_23,0.072540952,1.349537037,0.039743836,0.108445858,0.054461346,0.041103532,0,0.026041667,0.135610352,-0.023976812,1,2
3_25,0.04280192,1.426553672,-0.046098299,0.132514061,0.143093026,0.100357529,0,0.074152542,0.184626139,-0.182504682,1,1
3_26,-0.048091181,1.883802817,-0.269984975,0.196265723,0.381827304,0.262424658,0.035211268,0.090669014,0.445822635,-0.558481608,1,1
3_27,0.00639555,1.172086721,-0.060107679,0.078109581,0.116007174,0.073043422,0,0.06402439,0.12398732,-0.143850751,1,1
3_28,0.427457775,2.185185185,0.234218795,0.60549447,0.306325778,0.213497588,0.046296296,0.091203704,0.796623301,-0.020891097,1,1
3_29,0.029407155,2.504708098,-0.071909675,0.13409367,0.164608903,0.133832109,0,0.098870056,0.255641849,-0.275901303,1,1
3_3,0.270312667,0.166666667,0.262073449,0.282330875,0.018004886,0.015683377,0,0,0.289310539,0.227934411,1,2
3_30,0.064450766,0.606481481,0.046948568,0.084281632,0.030670482,0.022564411,0,0.005324074,0.100582563,0.016088437,1,1
3_31,0.461385732,1.893939394,0.385067397,0.555369757,0.138953656,0.105230672,0.034965035,0.034382284,0.619704926,0.229009383,1,1
3_4,0.612732514,8.125,0.1981508,1.12179071,0.752674613,0.657910587,0.416666667,0.041666667,1.964352693,-0.720543781,1,1
3_5,0.353999341,2.4375,0.225171902,0.507293952,0.226123269,0.20679717,0.083333333,0.096354167,0.660181897,-0.163684156,1,1
4_1,0.145405328,0.625,0.087287068,0.220406514,0.119701307,0.089813158,0,0.020833333,0.366147029,-0.03999405,1,1
4_13,1.888951775,10.83333333,1.666507719,2.019519717,0.313878213,0.156667436,0,0,2.026365795,1.615198282,1,2
4_14,2.178321222,12.5,2.007224662,2.371527735,0.348183903,0.222981896,0,0,2.795747601,1.955987559,1,1
4_15,2.843419764,17.5,2.349060537,3.428040707,0.817967236,0.567107666,0,0,4.0248491,2.014149168,1,1
4_16,8.716418145,17.25,8.290073255,9.127629213,0.695061015,0.454304545,2.083333333,0,9.696793416,7.870457679,1,1
4_2,0.294468597,3.833333333,-0.30377041,0.840562984,0.899104234,0.615201739,0,0.086111111,1.200946663,-0.976437442,1,2
4_3,1.012239235,0.833333333,0.868245709,1.264204839,0.185314809,0.45551321,0,0.016666667,1.340006119,-0.332496988,1,1
4_4,-2.237263104,3.333333333,-3.239926322,-1.11047901,1.665951843,1.322133751,0.333333333,0.525,0.228202304,-5.17777902,1,2
4_5,0.020464322,0.833333333,0.018322785,0.022288677,0.002939434,0.002439792,0,0,0.025726202,0.015638316,1,2
4_6,0.028291954,0.75,0.021338568,0.035990199,0.011823857,0.00960554,0,0,0.050837388,0.00741492,3,2
4_7,-0.116295067,2.557932264,-0.489147938,0.254386666,0.619372074,0.401182017,0.035650624,0.114973262,0.486143214,-0.923306742,3,3
5_1,0.806519571,3.166666667,0.734609831,0.874920193,0.126192648,0.079208838,0,0,1.021281381,0.695708231,1,2
5_12,0.134770136,1.932989691,-0.097628514,0.37877762,0.384596077,0.271692928,0.060137457,0.115979381,0.546644333,-0.435555898,3,2
5_17,-0.053422072,0.833333333,-0.350905085,0.278181143,0.521653345,0.383851627,0,0,0.316081285,-0.968715537,3,2
5_18,1.007280623,3.598484848,0.826107502,1.189514356,0.283275199,0.223492161,0.015151515,0.018939394,1.334480354,0.520246221,3,2
5_2,2.205339543,12.44444444,1.900653792,2.571561372,0.547613816,0.392146737,0,0.005555556,2.805659483,1.324560396,3,2
5_20,0.318553487,0.833333333,0.264835659,0.486121467,0.163243888,0.306731689,0,0.097222222,0.549260848,-0.555103311,1,2
5_21,1.061129036,3.194444444,0.686416096,1.420099382,0.599168161,0.419716976,0,0.069444444,1.578502619,-0.023642088,1,2
5_22,0.463041511,3.667279412,0.082205493,0.844348144,0.620156609,0.454769542,0.030637255,0.082567402,1.212528279,-0.491989829,3,3
5_23,1.305886944,6.666666667,0.927358192,1.716479622,0.619238696,0.493026779,0,0.12037037,2.091665291,0.112035621,1,2
5_24,0.51599968,1.435185185,0.260645807,0.736161267,0.36117935,0.304245608,0,0.127314815,0.836015571,-0.243675469,3,3
5_3,1.380181853,2.166666667,1.279869157,1.514994212,0.200263391,0.152813786,0,0.008333333,1.605396233,1.038243721,1,2
5_4,2.938258848,18,2.473184224,3.529515723,0.796370452,0.73916151,0,0.008333333,4.087574682,1.16681366,1,2
5_5,0.242375366,0.722222222,0.215135552,0.285554425,0.055614925,0.063615284,0,0.044444444,0.339232364,0.077783979,3,2
6_1,1.516007593,0.208333333,1.216297832,1.797409806,0.487590768,0.287344571,0,0,2.046186305,1.052025832,1,1
6_17,-0.01203149,0.166666667,-0.708897645,0.546331302,1.210168021,0.56920023,0,0,0.80236011,-0.860243754,1,1
6_18,0.629637838,3.157894737,0.492074709,0.781167866,0.234428676,0.173985978,0,0.019736842,0.902945317,0.256253758,1,1
6_2,2.300499383,11,2.067955723,2.573349029,0.430394595,0.259675384,0,0,2.745193154,1.862419192,3,3
6_20,-1.076021068,4.166666667,-1.941042287,-0.465439382,1.13274438,1.471830842,0,0,4.658639141,-3.206222342,1,1
6_23,0.263136263,0.416666667,0.181745129,0.370653923,0.157158089,0.131084869,0,0,0.38071984,-0.13296218,1,1
6_25,-1.480388916,1.25,-3.02786414,0.066116535,2.657844203,1.564302481,0,0.416666667,1.226727478,-3.663369387,1,1
6_29,0.132245544,0.131578947,0.106080567,0.161129448,0.041145816,0.040690704,0,0.127192982,0.17314806,0.014917518,3,2
6_3,1.775273094,0.166666667,1.569776083,1.984682867,0.343858153,0.200210424,0,0,2.139651193,1.450785611,1,1
6_33,2.079994439,5.474910394,1.874115996,2.297448169,0.339733444,0.247114894,0.047789725,0.039725209,2.528093993,1.564797859,1,1
6_4,2.844192878,18.83333333,2.414800058,3.369084122,0.78065672,0.602270674,0,0.025,3.869642439,1.527148405,1,1
6_5,0.237437279,1.064814815,0.194894603,0.290443028,0.071970973,0.072013862,0,0.03125,0.334462792,0.057416218,1,1
7_1,0.71920886,3.898809524,0.565585262,0.903520155,0.263877185,0.221650407,0.034722222,0.020337302,1.023588929,0.198717967,3,2
7_10,2.989111575,8.611111111,1.24897441,4.715835121,2.754627512,1.994866973,0.703703704,0.082175926,6.706180437,-0.697128931,3,3
7_11,2.129300813,1.097560976,1.071195854,3.016888187,1.624043835,1.028532262,0.12195122,0.012703252,3.962797302,0.464742874,3,3
7_12,0.296582952,0.763473054,0.261905372,0.34077458,0.0612004,0.053173727,0,0.011477046,0.367774375,0.163882725,1,2
7_13,6.118089499,6.1352657,5.260531075,7.001049492,1.403094034,0.971493795,0.464975845,0.015096618,7.892430339,4.305161555,1,2
7_14,2.313383722,8.222222222,1.254642756,3.357528576,1.694992886,1.208672594,0.291666667,0.070138889,4.364575536,-0.141802887,1,1
7_15,0.445120851,3.436329588,0.291519709,0.620698884,0.248006724,0.226685904,0,0.029494382,0.753013679,-0.12523546,1,1
7_16,5.180963837,6.128587196,4.170461993,6.234640752,1.64636138,1.195414704,1.043046358,0.114238411,7.58681879,2.877330795,1,1
7_17,2.820308996,3.050925926,2.003504165,3.668134639,1.367188098,0.941503337,0.236111111,0.143981481,4.417823562,0.986638795,1,1
7_18,2.707249967,10.17322097,2.03441568,3.400816094,1.092104076,0.811944059,0.177902622,0.030430712,4.038340783,0.945393322,1,1
7_19,0.053875747,2.059386973,-0.239675507,0.366939453,0.49076517,0.377036721,0.009578544,0.144396552,0.547415314,-0.799777176,1,2
7_2,0.601632795,5.341880342,0.279193288,0.952506154,0.521221502,0.41553758,0,0.051923077,1.180940738,-0.337353276,1,2
7_20,-0.120053965,1.835443038,-0.517074865,0.343979458,0.699792974,0.527205539,0.042194093,0.098628692,0.59587145,-1.285561666,1,2
7_21,0.26811029,2.939814815,-0.21437246,0.785003466,0.790966476,0.593305791,0.087962963,0.116550926,1.142134038,-1.003534471,3,2
7_22,0.243595148,0.743801653,0.178230703,0.335021886,0.126092006,0.108533801,0,0.024104683,0.371992585,-0.024095525,1,2
7_27,-0.09234841,1.032719836,-0.325970467,0.167046383,0.402150463,0.296101927,0,0.131134969,0.358298446,-0.721245853,1,2
7_3,0.710044249,3.319964349,0.471691392,0.971457185,0.390453058,0.338558073,0.008912656,0.030080214,1.161726736,-0.09703037,1,2
7_36,-0.158288335,1,-0.66583597,0.33782482,0.828707233,0.57119528,0,0.291666667,0.553692169,-1.323283885,3,2
7_4,2.123705239,5.277777778,1.811829553,2.456130793,0.521647559,0.377697073,0.076452599,0.035423038,2.686190987,1.298220365,1,2
7_43,0.151597789,0.37037037,0.121649878,0.185667801,0.049238912,0.041913841,0,0.027777778,0.208402115,0.04740171,1,2
7_44,0.785445458,0.666666667,0.681683507,0.891651321,0.17285358,0.100316487,0,0,0.981227483,0.633238073,1,2
7_5,6.499398984,9.393518519,5.12167496,7.927890878,2.287890546,1.554958764,0.768518519,0.052314815,9.167917981,3.574686833,3,3
7_6,1.710776452,4.861111111,0.979352037,2.45314911,1.191527484,0.852863295,0.166666667,0.053472222,3.239257249,0.057117016,1,1
7_7,1.49747056,7.156308851,0.9296458,2.066758316,0.902709963,0.673500064,0.094161959,0.055320151,2.500582321,0.027737875,1,2
7_8,0.401695773,3.723628692,0.08062736,0.76695796,0.55159166,0.421795862,0.010548523,0.101793249,0.994365605,-0.551394651,1,2
7_9,0.765333668,7.086056645,-0.361987309,1.863724513,1.8009488,1.300219749,0.283224401,0.162037037,3.271318099,-1.831137123,1,2
8_1,0.427736667,2.5,0.397688672,0.487906959,0.073770858,0.089287313,0,0.004166667,0.560816294,0.193455446,1,1
8_15,-0.035942297,2.022554189,-0.419251564,0.360389472,0.639177975,0.435761221,0.026362039,0.147114821,0.616063658,-0.918979033,1,2
8_16,0.14051428,2.507515971,-0.073250469,0.370075931,0.346762227,0.276109227,0.016910936,0.056557685,0.622357238,-0.444198499,1,2
8_17,0.779126024,4.08793456,0.613295184,0.977807512,0.29228832,0.241735844,0.014314928,0.033384458,1.108098468,0.214639755,1,2
8_18,0.588908943,4.67218543,0.045294807,1.152797477,0.889505195,0.65400818,0.070640177,0.12687638,1.660442893,-0.775507578,1,1
8_19,1.625391005,8.235294118,1.379450374,1.863489889,0.352082811,0.331789295,0,0.085784314,2.163751247,0.814706459,1,1
8_2,1.703713178,9.083333333,1.285220879,2.122192846,0.662985124,0.462250147,0,0.048611111,2.340886438,0.736797349,1,2
8_20,0.760230119,6.91608662,-0.083105293,1.618073178,1.375443153,0.964584317,0.101508121,0.14037123,2.279953776,-1.225454379,1,1
8_21,1.222173438,5.008892276,0.679370327,1.757703406,0.861036288,0.659608685,0.226117886,0.107596545,2.64548183,-0.036750911,1,2
8_22,0.259462447,5.416666667,-1.051822753,1.244186348,1.642191703,1.262228367,0.416666667,0.15625,1.462158092,-2.481209467,1,1
8_26,0.296479209,1.890602056,0.028534232,0.57380251,0.428518174,0.325781356,0.012848752,0.1645558,0.750144394,-0.425726213,1,2
8_27,0.378484531,1.22311828,0.10620915,0.657760488,0.453053963,0.319415959,0.02688172,0.07594086,0.770654813,-0.334913765,1,2
8_3,1.271629651,1.833333333,1.161083277,1.411705152,0.209195176,0.152701182,0,0,1.561673447,0.982155813,1,1
8_4,1.234800383,6.944444444,0.961814424,1.561600763,0.389305283,0.435550131,0.092592593,0.027777778,1.764483621,0.110458178,1,1
8_5,0.381388877,2.642276423,0.225588349,0.567248161,0.263616732,0.247988938,0.162601626,0.044969512,0.701925783,-0.250342487,1,1
9_1,0.630176549,2.833333333,0.571183531,0.700657063,0.116070442,0.076710175,0,0.004166667,0.749218275,0.488122734,1,2
9_2,1.158274612,4.25,1.047024659,1.273831912,0.187119699,0.115377391,0,0,1.398654351,0.981482975,3,3
9_3,0.74629537,2,0.531176073,0.96650307,0.350381527,0.257886581,0,0.0375,1.074139861,0.184830813,1,2
9_4,1.745022476,10.5,1.435186277,2.037321411,0.515077307,0.342051639,0,0.0125,2.443856215,1.154913958,1,2
