SessionID,Mean,Peak,Perc20,Perc80,QuartDev,Std,Strong_Peak,dataQual,Max,Min,SessionLabel,SessionLabel2,Lab_sub,derivative
S3_27,0.006395550251308951,1.1720867208676835,-0.06010767873210267,0.07810958097600816,0.11600717407384811,0.07304342228626635,0.0,0.06402439024391789,0.12398732006720163,-0.14385075147876233,1,1,3,-0.001634169260283826
S3_28,0.42745777537978996,2.185185185185493,0.23421879465284726,0.6054944704058246,0.30632577788522236,0.21349758756425127,0.046296296296333334,0.09120370370372777,0.7966233006687514,-0.02089109682916993,1,1,3,-0.006155929122444152
S3_29,0.029407155358182897,2.504708097928738,-0.07190967458335235,0.13409367001099282,0.16460890313394963,0.13383210871939993,0.0,0.0988700564971949,0.25564184863899725,-0.2759013032805052,1,1,3,-0.002725080137079931
S3_30,0.06445076577768333,0.6064814814816335,0.04694856795097695,0.08428163209231997,0.030670482059496726,0.02256441122400128,0.0,0.005324074074075556,0.10058256284301714,0.01608843650776979,1,1,3,-0.00017130799976548293
S3_31,0.05022123135654887,1.097222222222595,0.018433805236315742,0.08367723490895393,0.052471222153928514,0.038591857985563055,0.0,0.02777777777777944,0.1136966555868767,-0.03619599315329916,1,1,3,-0.0004013371431328626
S3_5,0.17940962941101465,0.3514056224899701,0.1688217168478426,0.20433681045907956,0.028379866103268696,0.0355170839568835,0.0,0.008785140562252412,0.2177313990958422,0.07722115776495049,1,1,3,-0.00021924745547518014
S3_6,0.24238890832217813,0.5231481481483391,0.22033674119184718,0.2683841693129502,0.033030259718183255,0.03712510690196165,0.0,0.018750000000001106,0.280714319179739,0.14368023803185603,1,1,3,-0.00035574235682992155
S3_7,0.17634843281468718,0.8703703703707725,0.1390868990139512,0.21805845755034434,0.05965242867161719,0.05475515842416625,0.0,0.03564814814815612,0.2356818766244,0.03212651686242747,1,1,3,-0.0006099669318518384
S3_8,0.26834311256113247,0.6004901960783533,0.24385009581721984,0.303080839039919,0.04683999645840569,0.045593438852736846,0.0,0.017769607843145584,0.33394922852382364,0.15172078011918533,1,1,3,-0.0007923233646179872
S3_9,0.14587247007650178,2.2222222222220847,-0.2869405097316288,0.5606568599545555,0.6890349713413785,0.46603215121048386,0.01851851851851111,0.08680555555555722,0.8398818083366724,-0.8196446502447884,3,3,3,-0.013385013940321575
S4_13,1.88895177477,10.833333333299999,1.66650771858,2.0195197167,0.313878212804,0.15666743567500002,0.0,0.0,2.0263657952900003,1.61519828174,1,2,4,0.0056407821754500004
S4_14,2.1783212217,12.5,2.00722466209,2.37152773467,0.348183902763,0.222981896442,0.0,0.0,2.7957476013,1.9559875589200002,1,1,4,0.0139960007063
S4_15,2.8434197644,17.5,2.34906053713,3.42804070736,0.817967236269,0.567107665568,0.0,0.0,4.02484910025,2.01414916786,1,1,4,0.0335116655398
S4_16,8.716418144654,17.2499999999935,8.290073254648998,9.12762921319,0.69506101489715,0.45430454458180014,2.0833333333345996,0.0,9.696793415573001,7.870457678609002,1,1,4,-0.0017657786350655006
S4_5,0.0204643216494,0.833333333333,0.0183227852052,0.022288677378,0.0029394340849,0.00243979216994,0.0,0.0,0.025726202329,0.0156383158135,1,2,4,5.68908307457e-05
S4_6,0.0236530137845,1.1666666666672,0.01831541400982,0.029592817313499997,0.009324880982879999,0.00684416096533,0.0,0.0,0.03981525773154,0.011814516494257998,3,2,4,-8.801508124509998e-05
