SessionID,EmpaticaID,fft_pLF,fft_pHF,fft_LFHFratio,fft_VLF,fft_LF,fft_HF,lomb_lf,RMSSD,PNN50,TRI,TINN,lomb_hf,meanV,stdV,sdsd,qr,SessionLabel,SessionLabel2
S10_11,A0133E,41.89772687706929,58.10227312293068,0.8809989124802164,0.3899548114629853,1.6645301930588938,2.444479849370635,0.635540679124385,0.06158373572278539,0.2878715085676073,4.96515933140933,0.024381510416666696,0.579761523860465,0.86399154263594,0.06215318001755157,0.06086683720828951,0.9938100055568998,1,2
S10_12,A0133E,41.36555678156995,58.634443218430036,0.8001882278515599,0.2755600844224945,1.5665023359912962,2.2527445780014173,2.1785979391091845,0.09986989493399605,0.43562174701344575,5.140253482345323,0.018415178571428572,2.244802968638065,0.9147714679089866,0.0937571376590637,0.09822835273011353,0.9768474922436506,1,2
S10_13,A0133E,38.15289008858192,61.84710991141803,0.6855246140277778,0.5263777992839471,1.6904567134963642,2.7833914511028923,1.792158334591726,0.08105287085243355,0.4078819527437253,5.4894421487603315,0.025094696969696958,1.4436395398261666,0.984466278377878,0.08004497311436681,0.08052448322701998,0.984157948293948,3,2
S10_14,A0133E,37.513883798317934,62.48611620168201,0.6548025935790902,0.26467104246287165,1.4941950145165668,2.5387492379929495,0.9383501466496811,0.09937306023965528,0.5057395890958641,5.953400931079507,0.03673735119047619,0.9174789942596582,0.8696250120367913,0.07822421754694411,0.09898537729064909,0.9741782342929748,1,2
S10_15,A0133E,32.216367632483646,67.78363236751635,0.48319538391763156,0.569772503079371,1.4710691358386752,3.222150145704115,0.8002513765213068,0.08127919589304,0.476842105263158,5.1000000000000005,0.015625,1.0387837988309347,1.01149450769231,0.07813718651846048,0.081228651503141,1.0,3,2
S10_16,A0133E,40.14566303235198,59.85433696764802,0.7768920748247174,0.30552638483621364,1.427303364489674,1.9674537398613035,0.39743089304338,0.06072693815659302,0.3326579785403685,4.3357093663911845,0.019176136363636364,0.2875558791366339,0.7453937315666517,0.05336800446215533,0.06061852901296944,1.0,1,2
S10_17,A0133E,40.32007758865207,59.679922411347974,0.7424139626062232,0.20633492334364645,1.384497297987088,2.027870540873537,10.874579941505838,0.15057337948804336,0.5930094576698347,5.4,0.0203125,9.10522174646693,0.9544840163559506,0.13704265642856597,0.14809562712890662,0.9527965821476049,1,2
S10_18,A0133E,41.99044701793927,58.00955298206075,0.7778975397015683,0.47423624186330493,1.691666981169074,2.381553152575759,0.6504235404857381,0.06712825738545308,0.3515720358402609,5.46704761944124,0.02059785017730496,0.5963055183500732,0.8085276642626346,0.06851902413722852,0.06674726144528578,0.9921359453167967,1,2
S10_19,A0133E,37.57659605254664,62.42340394745338,0.6723413402593639,0.24287130602094525,1.5258125691234075,2.603118447073824,9.716494861926028,0.09494318211338938,0.3839803322550413,5.028663701366688,0.02562989672364677,11.327763122092477,0.9504501238102329,0.08461233324538814,0.09390475517294698,0.9883008931249162,1,2
S10_5,A0133E,39.527763615369395,60.472236384630556,0.7001078565970316,0.669642079370592,1.8503600760575891,2.860372060747329,0.5945859951740817,0.0688911510140524,0.395354213312215,5.905449177663032,0.024849397590361446,0.7469221275673323,0.9839335117409003,0.0700706976014273,0.06860991217320064,0.9931559941229091,1,2
S10_6,A0133E,39.82196724533868,60.17803275466133,0.7516532373686398,0.43501253204212825,1.6645067353091585,2.5709230108127548,1.0740357742479056,0.0803570837831016,0.37352162195004146,5.74423923366938,0.024844898897058824,1.0961908136547076,0.835919090168639,0.08196217657309333,0.07988556805729706,0.9841603217923607,1,2
S10_7,A0133E,41.65948863121127,58.34051136878877,0.8344212738561156,0.343391478393598,1.5662784408954455,2.2940163929094894,0.9267139803444411,0.07678908212379405,0.3555135399540574,5.331668779938012,0.02282652243589743,0.7204527471778027,0.8614703362608009,0.07142466295740381,0.0763778716705496,0.9846407900946275,1,1
S11_12,A021AD,34.21374570808436,65.7862542919156,0.5586121668155433,0.4170820180128817,1.4173293340613002,2.758695592520084,56.815049917185114,0.1201416075552403,0.26863442530070936,4.682020849040101,0.03314821787148599,155.12512668826668,0.6571256579636985,0.10955503830607784,0.11945820621255936,0.9923261780426517,1,2
S11_13,A021AD,34.043187543971044,65.95681245602897,0.5638760034757063,0.3321073212975535,1.3744264350128543,2.7687415598893206,0.535693169750046,0.07068108407216389,0.40213022883412025,5.790776381966226,0.03128551136363639,0.6551085161459766,0.7199759938439273,0.06318089656473785,0.07037622657068664,0.9927887582417143,3,2
S11_14,A021AD,35.409796985507114,64.59020301449287,0.6076427955095277,0.2748609623484579,1.2998004761700903,2.445739770937976,2.3645790173303722,0.07039694322646438,0.29488118336226987,4.772803090781565,0.03052497632575761,3.38481460774457,0.6500994558955956,0.05850355602143712,0.06997232211789375,0.9959448189277957,3,2
S11_15,A021AD,34.63068884157008,65.36931115842995,0.5802214967356844,0.3429833092943026,1.3178270755012695,2.491173690005698,0.2845861099135702,0.06401656496595574,0.3000937253334562,4.823917646930881,0.031213321596244178,0.32942080648458616,0.61301241397137,0.051019702645133086,0.06383182562921244,0.9912628667359416,3,3
S11_16,A021AD,36.46908014506598,63.530919854934005,0.6062440373523826,0.3797377615508682,1.5312558824030538,2.8165686305294417,0.7659903257954801,0.0758615362961758,0.5151072261072259,5.182648740148739,0.029166666666666605,0.854499250046967,0.7101160292220172,0.0710195065526,0.07559763266633279,0.9947692307692307,3,2
