SessionID,Mean,Peak,Perc20,Perc80,QuartDev,Std,Strong_Peak,dataQual,Max,Min,SessionLabel,SessionLabel2,SessionLabel3,Lab_sub,derivative
S15_1,1.176432005526,2.3333333333332,1.1208323075839999,1.256226890054,0.11288898720518,0.08179177090030001,0.0,0.01666666666668,1.328715842272,1.007061073699,1,2,1,15,-0.00029806898783901975
S15_2,0.5027976248741333,8.722222222218667,-0.5227599159774267,1.4651978015616665,1.7113616929944666,1.1388999773580535,0.0,0.08611111111113333,2.128723614047533,-2.0304303423947334,3,3,3,15,-0.025753538989919233
S15_3,0.4064995046412,2.5000000000012,0.334899674189,0.4689000216338,0.10702225661480003,0.07443984110266,0.0,0.00833333333334,0.5231346688696,0.2485704398102,1,2,2,15,-0.0009433219533123999
S15_4,1.5827390423749998,8.3333333333325,1.0299898844345,2.09224079343,0.9373049196600001,0.5079992191382501,0.0,0.0,2.304487065035,0.7282273228535,1,1,0,15,0.0024633619622400015
S1_1,0.1800914973322,0.0,0.175254103202,0.1854239870392,0.008402659488178001,0.005776317611597999,0.0,0.0,0.1909872639394,0.16832909329520002,1,2,1,1,8.318731758756e-05
S1_2,1.5470214396727333,8.1111111111142,1.341844296583813,1.7697106301066001,0.3531858623320134,0.22980965379075335,0.0,0.00555555555556,1.9564111536835331,1.1109027854529332,3,3,3,1,0.0022957349976146005
S1_3,0.5646166408704001,0.3333333333332,0.49851469474380006,0.630825014789,0.110368910758,0.064292013111,0.0,0.0,0.6900114150612,0.465702038428,1,1,2,1,-0.0035294953062240003
S1_4,1.8503434983838,12.166666666660001,1.2006260201374002,2.3590334345116,0.95089352015712,0.63490354138602,0.0,0.01666666666668,2.8713813652797997,0.7371561325734002,1,2,0,1,0.015776588180026002
S3_1,0.1698852548355,0.20833333333325,0.15178289143125,0.18635216219025,0.029448916818100003,0.020626620454375,0.0,0.0,0.218244048281,0.13504519353,3,2,1,3,9.936913726300001e-05
S3_2,0.30312369314500004,0.9444444444454001,0.2848667349494,0.31812939603033336,0.02751279974156733,0.01904645462283333,0.0,0.0,0.3378493043696667,0.26873540405159996,1,2,3,3,0.00020452043399321333
S3_3,0.2703126667356,0.1666666666666,0.26207344928199994,0.2823308752558,0.01800488563932,0.015683376715492005,0.0,0.0,0.28931053909279997,0.2279344113024,1,2,2,3,-0.00025207933282968
S3_4,0.6127325140735,8.125,0.1981507999923,1.1217907104145,0.752674613229025,0.65791058726725,0.4166666666665,0.041666666666675,1.9643526929885002,-0.72054378149325,1,1,0,3,0.007605195561354998
S4_1,0.145405327953875,0.62500000000075,0.0872870676386,0.22040651436835001,0.11970130681275001,0.08981315757349999,0.0,0.020833333333325002,0.36614702931225,-0.039994049650175,1,1,1,4,-0.0034905516010567497
S4_2,0.29446859660621333,3.8333333333348674,-0.303770409835104,0.8405629843263076,0.8991042336042632,0.6152017394972826,0.0,0.08611111111115334,1.2009466625401126,-0.9764374421658667,1,2,3,4,-0.0113131485530834
S4_3,1.0122392347066,0.8333333333340001,0.86824570908122,1.2642048385159999,0.18531480937119998,0.45551320957839997,0.0,0.01666666666666,1.340006119406,-0.3324969884882001,1,1,2,4,-0.005280929254148
S4_4,-2.2372631042406,3.333333333334,-3.239926321864,-1.1104790103522,1.6659518430740001,1.3221337513198,0.3333333333332,0.525,0.22820230362978,-5.177779019971999,1,2,0,4,-0.06488706732858
S5_1,0.8065195705904001,3.1666666666666003,0.7346098312398001,0.8749201933749999,0.12619264849634,0.07920883750204,0.0,0.0,1.0212813809849999,0.695708230896,1,2,1,5,-0.0024507811596140004
S5_2,2.2053395429221334,12.444444444453332,1.900653791753933,2.571561372472333,0.5476138160353601,0.3921467371347933,0.0,0.00555555555556,2.8056594828434003,1.32456039566592,3,2,3,5,-0.0053537900889326666
S5_3,1.38018185319,2.1666666666651997,1.2798691568960001,1.5149942124740001,0.20026339054724002,0.15281378592880002,0.0,0.00833333333334,1.605396233188,1.038243720841,1,2,2,5,-0.003182417747658
S5_4,2.938258847606,18.0,2.473184223792,3.529515722916,0.7963704520914,0.7391615096945999,0.0,0.00833333333334,4.087574682304,1.1668136595062,1,2,0,5,-0.006160592327972
S6_1,1.5160075928342498,0.20833333333325,1.21629783165875,1.79740980587775,0.48759076773425003,0.28734457083175,0.0,0.0,2.0461863051275,1.05202583154,1,1,1,6,-0.015386440910064999
S6_2,2.300499383128533,10.999999999998002,2.067955723495667,2.573349028709133,0.43039459500623994,0.25967538431111337,0.0,0.0,2.7451931537401335,1.8624191915205335,3,3,3,6,0.0024444952480668
S6_3,1.7752730943919999,0.1666666666666,1.569776083204,1.984682867384,0.3438581529272,0.20021042376940001,0.0,0.0,2.139651192694,1.4507856112496,1,1,2,6,-0.011481093024082002
S6_4,2.844192878146,18.833333333359995,2.4148000583640004,3.369084122332,0.7806567199738,0.6022706739589999,0.0,0.025,3.8696424385820003,1.5271484050116002,1,1,0,6,-0.0041810575704574
S7_1,0.5175790761512,2.0000000000006,0.44813376564480006,0.5980750728796,0.1279145841112,0.09198711061604001,0.0,0.0,0.7066608788874,0.28466203181519995,3,2,1,7,-0.005025621567188001
S7_2,2.153890785904133,12.555555555556667,1.9441366650337335,2.4107343107757333,0.3854493932139133,0.27884411778772666,0.0,0.00277777777778,2.5707207445812004,1.5675322680802002,3,2,3,7,0.004459746617441275
S7_3,3.0299821997999996,14.629629629630001,2.694231669534111,3.3629521689366664,0.5250500679224444,0.408344195811,0.0,0.004629629629633333,3.699994709798889,2.058559093172333,1,2,2,7,-0.0014277862268833334
S7_4,0.7854454584634001,0.6666666666672,0.6816835066456001,0.8916513209756,0.17285358047778,0.10031648657416001,0.0,0.0,0.9812274827990001,0.6332380734331999,1,1,0,7,-0.005799823489404001
S8_1,0.46790336089119994,2.666666666668,0.458952201286,0.5409510830632,0.06797591858628,0.12609207390764002,0.0,0.00833333333334,0.6332554121488,0.09365481203220001,1,1,1,8,-0.0014631846575920001
S8_2,3.2119317330566663,13.111111111104666,2.8243189629622,3.6541314458738006,0.6525983628054,0.45655922775296,0.0,0.013888888888893334,3.9072330815486667,2.338699824287867,1,2,3,8,0.0013138854986762668
S8_3,2.224076499138,2.0000000000006,2.016344362394,2.4552690769739995,0.37261700662240005,0.2280450179962,0.0,0.0,2.7443389679259997,1.874111385478,1,1,2,8,-0.013122465421956001
